article_id,retire_dt
55676,2025-10-16 00:00:00
55770,2025-10-16 00:00:00
56073,2025-10-16 00:00:00
57184,2025-10-16 00:00:00
57191,2025-10-16 00:00:00
57198,2025-10-16 00:00:00
57222,2025-10-16 00:00:00
57225,2025-10-16 00:00:00
57238,2025-10-16 00:00:00
57472,2025-10-25 00:00:00
57613,2025-10-16 00:00:00
57616,2025-10-16 00:00:00
57707,2025-10-16 00:00:00
57792,2025-10-16 00:00:00
57949,2025-10-16 00:00:00
59492,2025-11-13 11:23:01.547000000
59617,2025-10-17 12:51:49.590000000
59625,2025-11-01 22:08:56.887000000
59627,2025-11-01 22:09:17.657000000
59671,2025-11-04 09:49:01.507000000
59681,2025-11-11 17:04:12.533000000
59690,2025-10-29 14:04:06.173000000
59694,2025-11-20 16:31:38.617000000
59696,2025-11-20 16:32:14.727000000
59706,2025-12-31 06:51:18.260000000
59711,2025-11-04 17:31:39.070000000
59713,2026-10-02 00:00:00
59731,2025-10-23 11:06:28.947000000
59739,2025-11-06 08:43:29.887000000
59754,2025-10-30 10:54:52.467000000
59771,2025-10-16 00:00:00
59820,2025-11-21 13:37:51.073000000
59826,2026-05-29 16:10:34.590000000
59834,2026-06-03 15:13:56.390000000
59836,2026-06-03 15:14:19.553000000
59839,2026-01-13 12:29:49.357000000
59840,2025-10-30 13:24:20.390000000
59845,2025-10-29 11:09:42.157000000
59846,2026-04-17 14:55:44.353000000
59848,2026-04-09 14:45:49.517000000
59859,2026-04-18 16:54:49.593000000
59861,2026-04-10 17:16:16.663000000
59863,2026-04-08 12:01:38.023000000
59864,2026-04-08 12:02:04.393000000
59865,2026-01-02 12:43:19.023000000
59867,2026-05-01 13:52:08.437000000
59869,2026-05-01 13:52:24.400000000
59871,2026-04-25 11:26:56.773000000
59873,2026-04-25 11:27:23.137000000
59877,2025-10-28 14:33:39.050000000
59879,2026-01-06 12:56:06.263000000
59881,2026-01-07 11:10:58.053000000
59883,2026-01-07 11:11:07.357000000
59901,2026-01-13 14:35:05.770000000
59905,2026-05-30 12:47:49.910000000
59907,2026-05-30 12:48:11.970000000
59914,2025-12-08 16:54:31.340000000
59918,2026-06-26 14:27:43.047000000
59920,2025-12-18 13:36:42.997000000
59926,2025-12-29 15:58:15.343000000
59933,2026-08-12 09:18:42.440000000
59938,2026-06-27 11:22:26.047000000
59940,2026-08-28 11:06:58.673000000
59956,2026-04-22 15:31:55.633000000
59970,2026-06-20 10:01:03.737000000
59972,2026-07-02 11:54:19.497000000
59975,2026-07-18 13:44:48.587000000
59977,2026-07-18 13:45:11.120000000
59980,2026-05-21 10:23:45.910000000
60182,2026-07-12 18:40:38.770000000
60186,2026-07-13 13:15:09.447000000
60187,2026-07-13 12:33:36.013000000
60194,2026-10-07 00:00:00
60234,2026-10-07 00:00:00
60275,2026-08-25 13:08:00.553000000
