"article_id","article_version","bill_code_id","bill_code_version","last_updated","description"
"52369","13","011","7","2023-11-20 13:54:16.540000000","Hospital Inpatient (Including Medicare Part A)"
"52369","13","012","7","2023-11-20 13:54:16.540000000","Hospital Inpatient (Medicare Part B only)"
"52369","13","013","7","2023-11-20 13:54:16.543000000","Hospital Outpatient"
"52369","13","085","7","2023-11-20 13:54:16.543000000","Critical Access Hospital"
"52430","11","085","7","2024-10-29 11:37:43.260000000","Critical Access Hospital"
"52430","11","077","7","2024-10-29 11:37:43.260000000","Clinic - Federally Qualified Health Center (FQHC)"
"52430","11","071","7","2024-10-29 11:37:43.253000000","Clinic - Rural Health"
"52430","11","073","7","2024-10-29 11:37:43.257000000","Clinic - Freestanding"
"52430","11","013","7","2024-10-29 11:37:43.250000000","Hospital Outpatient"
"52430","11","012","7","2024-10-29 11:37:43.247000000","Hospital Inpatient (Medicare Part B only)"
"52430","11","011","7","2024-10-29 11:37:43.243000000","Hospital Inpatient (Including Medicare Part A)"
"52430","11","021","7","2024-10-29 11:37:43.250000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"52430","11","022","7","2024-10-29 11:37:43.253000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52432","14","011","7","2023-11-07 17:38:39.767000000","Hospital Inpatient (Including Medicare Part A)"
"52432","14","013","7","2023-11-07 17:38:39.767000000","Hospital Outpatient"
"52432","14","071","7","2023-11-07 17:38:39.770000000","Clinic - Rural Health"
"52432","14","085","7","2023-11-07 17:38:39.770000000","Critical Access Hospital"
"52435","13","085","7","2023-11-15 12:56:41.337000000","Critical Access Hospital"
"52435","13","077","7","2023-11-15 12:56:41.337000000","Clinic - Federally Qualified Health Center (FQHC)"
"52435","13","071","7","2023-11-15 12:56:41.330000000","Clinic - Rural Health"
"52435","13","023","7","2023-11-15 12:56:41.330000000","Skilled Nursing - Outpatient"
"52435","13","073","7","2023-11-15 12:56:41.333000000","Clinic - Freestanding"
"52435","13","013","7","2023-11-15 12:56:41.323000000","Hospital Outpatient"
"52435","13","011","7","2023-11-15 12:56:41.320000000","Hospital Inpatient (Including Medicare Part A)"
"52435","13","012","7","2023-11-15 12:56:41.323000000","Hospital Inpatient (Medicare Part B only)"
"52435","13","022","7","2023-11-15 12:56:41.330000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52435","13","021","7","2023-11-15 12:56:41.327000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"52437","16","012","7","2023-11-07 14:33:02.700000000","Hospital Inpatient (Medicare Part B only)"
"52437","16","011","7","2023-11-07 14:33:02.697000000","Hospital Inpatient (Including Medicare Part A)"
"52437","16","013","7","2023-11-07 14:33:02.700000000","Hospital Outpatient"
"52437","16","085","7","2023-11-07 14:33:02.703000000","Critical Access Hospital"
"52438","22","085","7","2025-09-18 20:45:40.890000000","Critical Access Hospital"
"52438","22","013","7","2025-09-18 20:45:40.883000000","Hospital Outpatient"
"52438","22","011","7","2025-09-18 20:45:40.880000000","Hospital Inpatient (Including Medicare Part A)"
"52438","22","012","7","2025-09-18 20:45:40.880000000","Hospital Inpatient (Medicare Part B only)"
"52438","22","022","7","2025-09-18 20:45:40.887000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52438","22","023","7","2025-09-18 20:45:40.887000000","Skilled Nursing - Outpatient"
"52470","18","012","7","2025-07-29 21:07:59.370000000","Hospital Inpatient (Medicare Part B only)"
"52470","18","011","7","2025-07-29 21:07:59.347000000","Hospital Inpatient (Including Medicare Part A)"
"52470","18","013","7","2025-07-29 21:07:59.380000000","Hospital Outpatient"
"52470","18","085","7","2025-07-29 21:07:59.397000000","Critical Access Hospital"
"52470","18","079","7","2025-07-29 21:07:59.390000000","Clinic - Other"
"52725","36","999","7","2025-09-25 15:59:27.803000000","Not Applicable"
"52825","11","085","7","2024-01-16 14:52:38.103000000","Critical Access Hospital"
"52825","11","013","7","2024-01-16 14:52:38.100000000","Hospital Outpatient"
"52825","11","012","7","2024-01-16 14:52:38.100000000","Hospital Inpatient (Medicare Part B only)"
"52830","7","081","6","2019-11-08 18:57:38.717000000","Hospice (non-Hospital based)"
"52830","7","082","6","2019-11-08 18:57:38.720000000","Hospice (hospital based)"
"52837","20","085","7","2024-12-19 15:52:54.457000000","Critical Access Hospital"
"52837","20","013","7","2024-12-19 15:52:54.453000000","Hospital Outpatient"
"52840","2","013","5","2014-04-02 15:09:53.480000000","Hospital Outpatient"
"52840","2","011","5","2014-04-02 15:09:53.480000000","Hospital Inpatient (Including Medicare Part A)"
"52840","2","012","5","2014-04-02 15:09:53.480000000","Hospital Inpatient (Medicare Part B only)"
"52840","2","022","5","2014-04-02 15:09:53.480000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52840","2","021","5","2014-04-02 15:09:53.480000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"52840","2","085","5","2014-04-02 15:09:53.480000000","Critical Access Hospital"
"52840","2","073","5","2014-04-02 15:09:53.480000000","Clinic - Freestanding"
"52840","2","077","5","2014-04-02 15:09:53.480000000","Clinic - Federally Qualified Health Center (FQHC)"
"52840","2","071","5","2014-04-02 15:09:53.480000000","Clinic - Rural Health"
"52845","7","032","7","2023-10-06 15:24:41.633000000","Home Health Services under a plan of treatment"
"52986","242","999","7","2025-04-25 17:28:16.783000000","Not Applicable"
"52992","30","083","7","2025-04-11 13:01:08.810000000","Ambulatory Surgery Center"
"52992","30","085","7","2025-04-11 13:01:08.813000000","Critical Access Hospital"
"52992","30","011","7","2025-04-11 13:01:08.803000000","Hospital Inpatient (Including Medicare Part A)"
"52992","30","012","7","2025-04-11 13:01:08.807000000","Hospital Inpatient (Medicare Part B only)"
"52992","30","013","7","2025-04-11 13:01:08.810000000","Hospital Outpatient"
"52993","54","999","7","2024-10-18 13:42:54.573000000","Not Applicable"
"52996","31","013","7","2025-09-26 13:52:26.677000000","Hospital Outpatient"
"52996","31","012","7","2025-09-26 13:52:26.673000000","Hospital Inpatient (Medicare Part B only)"
"52996","31","011","7","2025-09-26 13:52:26.670000000","Hospital Inpatient (Including Medicare Part A)"
"52996","31","018","7","2025-09-26 13:52:26.680000000","Hospital - Swing Beds"
"52996","31","014","7","2025-09-26 13:52:26.677000000","Hospital - Laboratory Services Provided to Non-patients"
"52996","31","021","7","2025-09-26 13:52:26.680000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"52996","31","022","7","2025-09-26 13:52:26.683000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52996","31","085","7","2025-09-26 13:52:26.700000000","Critical Access Hospital"
"52996","31","083","7","2025-09-26 13:52:26.700000000","Ambulatory Surgery Center"
"52996","31","028","7","2025-09-26 13:52:26.690000000","Skilled Nursing - Swing Beds"
"52996","31","023","7","2025-09-26 13:52:26.687000000","Skilled Nursing - Outpatient"
