"article_id","article_version","article_type","code_table_row","brand_name","eff_date","end_date","comments","hcpc_code_id","hcpc_code_version","last_updated","short_description","long_description"
"52527","84","3","1","Besremi (ropeginterferon alfa-2b-njft) ","2022-04-24 00:00:00","","Apparent on its Face","C9399","98","2025-06-16 12:17:42","Unclassified drugs or biolog","UNCLASSIFIED DRUGS OR BIOLOGICALS"
"52527","84","3","2","Kesimpta® (ofatumumab) 

Can be billed under J3490, J3590 as well","2022-11-19 00:00:00","","Apparent on its Face","C9399","98","2025-06-16 12:17:42","Unclassified drugs or biolog","UNCLASSIFIED DRUGS OR BIOLOGICALS"
"52527","84","3","3","Abatacept*
Orencia*
Orencia Clickjet*
Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2021-03-27 00:00:00","","Acceptable Evidentiary Criteria Available","J0129","98","2025-06-16 12:17:42","Abatacept injection","INJECTION, ABATACEPT, 10 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)"
"52527","84","3","4","Injection, adalimumab, 1 mg	Humira®","2025-01-01 00:00:00","","Apparent on its Face","J0139","98","2025-06-16 12:17:42","Inj, adalimumab, 1 mg","INJECTION, ADALIMUMAB, 1 MG"
"52527","84","3","5","Caverjet®, <br> Edex®","2003-03-15 00:00:00","","Apparent on its Face","J0270","98","2025-06-16 12:17:42","Alprostadil for injection","INJECTION, ALPROSTADIL, 1.25 MCG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)"
"52527","84","3","6","Apokyn","2017-05-31 00:00:00","","Apparent on its Face","J0364","98","2025-06-16 12:17:42","Apomorphine hydrochloride","INJECTION, APOMORPHINE HYDROCHLORIDE, 1 MG"
"52527","84","3","7","Belimumab*
Benlysta*
Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2021-03-27 00:00:00","","Acceptable Evidentiary Criteria Available","J0490","98","2025-06-16 12:17:42","Belimumab injection","INJECTION, BELIMUMAB, 10 MG"
"52527","84","3","8","LANADELUMAB-FYO
(Takhzyro)","2019-10-01 00:00:00","","Apparent on its Face","J0593","98","2025-06-16 12:17:42","Inj., lanadelumab-flyo, 1 mg","INJECTION, LANADELUMAB-FLYO, 1 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF-ADMINISTERED)"
"52527","84","3","9","C1 Inhibitor (Human)
Berinert
Cinryze
Haegarda
Note: Prior to 01/01/2019 billed under J3490","2017-09-25 00:00:00","","Apparent on its Face","J0599","98","2025-06-16 12:17:42","Inj., haegarda 10 units","INJECTION, C-1 ESTERASE INHIBITOR (HUMAN), (HAEGARDA), 10 UNITS"
"52527","84","3","10","Calcimar
Fortical-DSC
Miacalcin
Osteocalcin
Salmonine","2003-03-15 00:00:00","","Apparent on its Face","J0630","98","2025-06-16 12:17:42","Calcitonin salmon injection","INJECTION, CALCITONIN SALMON, UP TO 400 UNITS"
"52527","84","3","11","Acthar® Gel* (use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2023-10-01 00:00:00","","Apparent on its Face","J0801","98","2025-06-16 12:17:42","Inj. acthar gel to 40 units","INJECTION, CORTICOTROPIN (ACTHAR GEL), UP TO 40 UNITS"
"52527","84","3","12","Purified Cortrophin Gel ®*(use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2023-10-01 00:00:00","","Apparent on its Face","J0802","98","2025-06-16 12:17:42","Inj. (ani), up to 40 units","INJECTION, CORTICOTROPIN (ANI), UP TO 40 UNITS"
"52527","84","3","13","Fuzeon","2007-05-16 00:00:00","","Apparent on its Face","J1324","98","2025-06-16 12:17:42","Enfuvirtide injection","INJECTION, ENFUVIRTIDE, 1 MG"
"52527","84","3","14","Enbrel®
Enbrel Mini
Enbrel Sure Click
Brenzys
Also see J3590 Etanercept-szzs (Erelzi)","2003-03-15 00:00:00","","Apparent on its Face","J1438","98","2025-06-16 12:17:42","Etanercept injection","INJECTION, ETANERCEPT, 25 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)"
"52527","84","3","15","Vivaglobin","2013-10-23 00:00:00","","Apparent on its Face","J1562","98","2025-06-16 12:17:42","Vivaglobin, inj","INJECTION, IMMUNE GLOBULIN (VIVAGLOBIN), 100 MG"
"52527","84","3","16","Copaxone
Glatopa
","2007-05-16 00:00:00","","Apparent on its Face","J1595","98","2025-06-16 12:17:42","Injection glatiramer acetate","INJECTION, GLATIRAMER ACETATE, 20 MG"
"52527","84","3","17","Guselkumab
Tremfya *Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2021-05-15 00:00:00","","Acceptable Evidentiary Criteria Available","J1628","98","2025-06-16 12:17:42","Inj., guselkumab, 1 mg","INJECTION, GUSELKUMAB, 1 MG"
"52527","84","3","18","Supprelin","2007-05-16 00:00:00","","Apparent on its Face","J1675","98","2025-06-16 12:17:42","Histrelin acetate","INJECTION, HISTRELIN ACETATE, 10 MICROGRAMS"
"52527","84","3","19","Firazyr","2013-10-23 00:00:00","","Apparent on its Face","J1744","98","2025-06-16 12:17:42","Icatibant injection","INJECTION, ICATIBANT, 1 MG"
"52527","84","3","20","Insulin via insulin pump (fiasp) ","2023-08-20 00:00:00","","Apparent on its Face","J1811","98","2025-06-16 12:17:42","Fiasp for insulin pump use","INSULIN (FIASP) FOR ADMINISTRATION THROUGH DME (I.E., INSULIN PUMP) PER 50 UNITS"
"52527","84","3","21","Inj. Insulin (fiasp) *Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered)","2023-08-13 00:00:00","","Apparent on its Face","J1812","98","2025-06-16 12:17:42","Inj. insulin (fiasp)","INSULIN (FIASP), PER 5 UNITS"
"52527","84","3","22","Insulin via insulin pump (lyumjev)","2023-08-20 00:00:00","","Apparent on its Face","J1813","98","2025-06-16 12:17:42","Lyumjev for insulin pump use","INSULIN (LYUMJEV) FOR ADMINISTRATION THROUGH DME (I.E., INSULIN PUMP) PER 50 UNITS"
"52527","84","3","23","Inj. insulin (lyumjev) 
U-100 and U-200
 *Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered)","2023-08-13 00:00:00","","Apparent on its Face","J1814","98","2025-06-16 12:17:42","Inj. insulin (lyumjev)","INSULIN (LYUMJEV), PER 5 UNITS"
"52527","84","3","24","Humalog®, <br> Humulin® R, <br> Humalin® 50/50, <br> Lente® Iletin® II, <br> Novolin® ","2003-03-15 00:00:00","","Apparent on its Face","J1815","98","2025-06-16 12:17:42","Insulin injection","INJECTION, INSULIN, PER 5 UNITS"
"52527","84","3","25","All Insulin products","2022-11-19 00:00:00","","Apparent on its Face","J1815","98","2025-06-16 12:17:42","Insulin injection","INJECTION, INSULIN, PER 5 UNITS"
"52527","84","3","26","All Insulin Products","2022-11-19 00:00:00","","Apparent on its Face","J1817","98","2025-06-16 12:17:42","Insulin for insulin pump use","INSULIN FOR ADMINISTRATION THROUGH DME (I.E., INSULIN PUMP) PER 50 UNITS"
"52527","84","3","27","Humalog,<br> Humulin,<br> Iletin etc.","2007-05-16 00:00:00","","Apparent on its Face","J1817","98","2025-06-16 12:17:42","Insulin for insulin pump use","INSULIN FOR ADMINISTRATION THROUGH DME (I.E., INSULIN PUMP) PER 50 UNITS"
"52527","84","3","28","Avonex Pen
Rebif 
Rebif Rebidose","2017-05-31 00:00:00","","Apparent on its Face","J1826","98","2025-06-16 12:17:42","Interferon beta-1a inj","INJECTION, INTERFERON BETA-1A, 30 MCG"
"52527","84","3","29","Betaseron®
Extavia","2003-03-15 00:00:00","","Apparent on its Face","J1830","98","2025-06-16 12:17:42","Interferon beta-1b / .25 mg","INJECTION, INTERFERON BETA-1B, 0.25 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)"
"52527","84","3","30","furosemide (Furoscix)","2023-08-20 00:00:00","","Apparent on its Face","J1941","98","2025-06-16 12:17:42","Inj, furoscix, 20 mg","INJECTION, FUROSEMIDE (FUROSCIX), 20 MG"
"52527","84","3","31","Increlex","2007-05-16 00:00:00","","Apparent on its Face","J2170","98","2025-06-16 12:17:42","Mecasermin injection","INJECTION, MECASERMIN, 1 MG"
"52527","84","3","32","Relistor","2013-10-23 00:00:00","","Apparent on its Face","J2212","98","2025-06-16 12:17:42","Methylnaltrexone injection","INJECTION, METHYLNALTREXONE, 0.1 MG"
"52527","84","3","33","Omvoh mirikizumab-mrkz*  (use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered)","2024-07-01 00:00:00","","Apparent on its Face","J2267","98","2025-06-16 12:17:42","Inj, mirikizumab-mrkz, 1 mg","INJECTION, MIRIKIZUMAB-MRKZ, 1 MG"
"52527","84","3","34","Sandostatin*
Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2005-08-15 00:00:00","","Apparent on its Face","J2354","98","2025-06-16 12:17:42","Octreotide inj, non-depot","INJECTION, OCTREOTIDE, NON-DEPOT FORM FOR SUBCUTANEOUS OR INTRAVENOUS INJECTION, 25 MCG"
"52527","84","3","35","Papaverine Hydrochloride","2013-10-23 00:00:00","","Apparent on its Face","J2440","98","2025-06-16 12:17:42","Papaverin hcl injection","INJECTION, PAPAVERINE HCL, UP TO 60 MG"
"52527","84","3","36","Genotropin®<br> Humatrope®<br> Norditropin®<br> Nutropin®
Omnitrope
Saizen 
Serostim
Tev-Tropin DSC
Zomacton
Zorbtive","2003-03-15 00:00:00","","Apparent on its Face","J2941","98","2025-06-16 12:17:42","Somatropin injection","INJECTION, SOMATROPIN, 1 MG"
"52527","84","3","37","Imitrex®
Alsuma DSC
Imitrex STATdose Refill
Imitrex STATdose System
Onzetra Xsail
Sumavel DosePro
Zecuity DSC
Zembrace SymTouch
","2003-03-15 00:00:00","","Apparent on its Face","J3030","98","2025-06-16 12:17:42","Sumatriptan succinate / 6 mg","INJECTION, SUMATRIPTAN SUCCINATE, 6 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)"
"52527","84","3","38","Fremanezumab-vfrm
AJOVY","2019-09-09 00:00:00","","Apparent on its Face","J3031","98","2025-06-16 12:17:42","Inj., fremanezumab-vfrm 1 mg","INJECTION, FREMANEZUMAB-VFRM, 1 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF-ADMINISTERED)"
"52527","84","3","39","Forteo® ","2006-10-15 00:00:00","","Apparent on its Face","J3110","98","2025-06-16 12:17:42","Teriparatide injection","INJECTION, TERIPARATIDE, 10 MCG"
"52527","84","3","40","Bravelle
.
","2013-10-23 00:00:00","","Apparent on its Face","J3355","98","2025-06-16 12:17:42","Urofollitropin, 75 iu","INJECTION, UROFOLLITROPIN, 75 IU"
"52527","84","3","41","Stelara  
USTEKINUMAB, FOR SUBCUTANEOUS INJECTION, 1 MG","2022-11-01 00:00:00","","Apparent on its Face","J3357","98","2025-06-16 12:17:42","Ustekinumab sub cu inj, 1 mg","USTEKINUMAB, FOR SUBCUTANEOUS INJECTION, 1 MG"
"52527","84","3","42","SteQeyma* Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered)

Can be billed with J3490, J3590, or C9399 ","2025-06-30 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","43","Ebglyss (lebrikizumab-lbkz) ","2025-06-30 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","44","Mipomersen Sodium 
Kynamro
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply.

","2013-10-23 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","45","Pasireotide Diaspartate 
SIGNIFOR
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply. (J2502 is only to be used when the LAR form is administered IM under the direct supervision of a physician)

","2013-10-23 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","46","Liraglutide-GLP-1 agonist DM 
Victoza
Saxenda
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply.

","2013-10-23 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","47","Exenatide
Byetta
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply.
 ","2005-08-15 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","48","Pramlintide Acetate
SymlinPen 60 or 120
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply.
","2005-08-15 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","49","Trimix (alprostadil, papaverine and phentolamine)
Quadramix (alprostadil, papaverine, phentolamine and atropine)
Note: If billed under any other miscellaneous code (i.e., J3590, J7999, J9999, or C9399) same rules apply.



 . ","2010-08-15 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","50","Methotrexate - Solution Auto-injector Non Chemotherapeutic
Otrexup
Rasuvo
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply.

","2015-10-01 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","51","Secukinumab
Cosentyx
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply.

","2015-10-01 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","52","Dulaglutide
Trulicity 
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply.","2015-10-01 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","53","Alirocumib 
Praluent
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply","2016-10-17 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","54","Albiglutide, SQ 
Tanzeum 
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply","2017-05-31 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","55","Metreleptin 
Myalept
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply 
","2017-05-31 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","56","Tesamorelin 
Egrifta
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply
","2017-05-31 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","57","Asfotase-alfa 
Strensiq 
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply","2017-05-31 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","58","Dupilumab
Dupixent

Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply","2018-09-28 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","59","Evolocumab 
Repatha
Repatha Pushtronex System
Repatha SureClick
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply

","2017-05-31 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","60","Exenatide XR 
Bydureon 
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply","2017-05-31 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","61","Ixekizumab
Taltz
Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply","2019-09-09 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","62","Golimumab - Non-IV Form
Simponi - Non-IV Form

Note: If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply","2016-10-17 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","63","Tralokinumab-Idrm (Adbry™)

This can also be billed with J3590 and C9399","2022-11-01 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","64","Tirzepatide (Monjaro, Zetbound)

Also billed under: J3590 and C9399","2022-11-19 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","65","All Insulin Products

Also can be billed under J3590 and C9399","2022-11-19 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","66","If billed under any other miscellaneous code (i.e., J3590, J9999, or C9399) same rules apply.

ABRILADA (adalimumab-afzb) is biosimilar* to HUMIRA (adalimumab).
HADLIMA (adalimumab-bwwd) is biosimilar* to HUMIRA (adalimumab)
HULIO® (adalimumab-fkjp) is biosimilar* to HUMIRA (adalimumab)
HYRIMOZ (adalimumab-adaz) is biosimilar* to HUMIRA (adalimumab)
YUSIMRY (adalimumab-aqvh) is biosimilar* to HUMIRA (adalimumab)

","2023-06-25 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","67","Vedolizumab*
Entyvio* (J3490, J3590, C9399) 
(use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2024-01-13 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","68","Yuflyma (J3490, J3590, C9399)","2024-01-13 00:00:00","","Apparent on its Face","J3490","98","2025-06-16 12:17:42","Drugs unclassified injection","UNCLASSIFIED DRUGS"
"52527","84","3","69","Adalimumab-atto
Amjevita
Biosimilar to Adalimumab (Humira)
Note: If billed under any other miscellaneous code (i.e., J3490, J9999, or C9399) same rules apply","2019-09-09 00:00:00","","Apparent on its Face","J3590","98","2025-06-16 12:17:42","Unclassified biologics","UNCLASSIFIED BIOLOGICS"
"52527","84","3","70","Brodalumab
Siliq
Note: If billed under any other miscellaneous code (i.e., J3490, J9999, or C9399) same rules apply","2019-09-09 00:00:00","","Apparent on its Face","J3590","98","2025-06-16 12:17:42","Unclassified biologics","UNCLASSIFIED BIOLOGICS"
"52527","84","3","71","Abaloparatide 
Tymlos
Note: If billed under any other miscellaneous code (i.e., J3490, J9999, or C9399) same rules apply","2019-09-09 00:00:00","","Apparent on its Face","J3590","98","2025-06-16 12:17:42","Unclassified biologics","UNCLASSIFIED BIOLOGICS"
"52527","84","3","72","Sarilumab
Kevzara
Note: If billed under any other miscellaneous code (i.e., J3490, J9999, or C9399) same rules apply","2019-09-09 00:00:00","","Apparent on its Face","J3590","98","2025-06-16 12:17:42","Unclassified biologics","UNCLASSIFIED BIOLOGICS"
"52527","84","3","73","Semaglutide
Ozempic
Wegovy
Note: If billed under any other miscellaneous code (i.e., J3490, J9999, or C9399) same rules apply","2019-09-09 00:00:00","","Apparent on its Face","J3590","98","2025-06-16 12:17:42","Unclassified biologics","UNCLASSIFIED BIOLOGICS"
