article_id,article_version,icd10_noncovered_group,"paragraph",last_updated
52369,13,1,"<p>For CPT codes 29999, 29877, G0289 that are performed for nationally non-covered indications please report the ICD-10-CM codes below for osteoarthritis or knee pain and append the &ndash;GA or &ndash;GZ modifier as applicable</p>",2023-11-20 13:54:16.620000000
52370,125,1,"",2025-09-17 14:13:43.940000000
52379,9,1,"<p><strong>There are no diagnoses for which this service is covered. The following diagnoses are identified herein to emphasize that we have specifically considered them and have determined that this service is not covered for them.</strong></p>
<p>When billing CPT code 87641 for screening purposes (statutorily non-covered), ICD-10-CM codes, including but not limited to those listed below, may be reported. The &ndash;GY modifier should be reported, as applicable.<br />Group 1: Codes</p>",2023-11-17 21:59:58.677000000
52399,61,1,"",2025-09-17 14:14:56.943000000
52420,60,1,"",2024-08-04 19:11:12.993000000
52421,22,1,"",2023-09-22 19:00:52.670000000
52423,83,1,"",2024-09-19 20:53:55.297000000
52430,11,1,"",2024-10-29 11:37:43.293000000
52432,14,1,"",2023-11-07 17:38:39.927000000
52434,50,1,"",2024-09-20 16:59:09.480000000
52435,13,1,"<p>Any diagnosis not listed in the ""ICD-10 Codes That Support Medical Necessity"" section.</p>",2023-11-15 12:56:41.403000000
52437,16,1,"",2023-11-07 14:33:02.817000000
52438,22,1,"",2025-09-18 20:45:45.443000000
52447,29,1,"",2021-09-24 13:06:32.713000000
52448,23,1,"",2025-09-17 14:20:33.123000000
52450,80,1,"",2025-01-03 21:17:10.247000000
52451,75,1,"",2025-09-17 14:22:11.640000000
52453,48,1,"",2025-09-17 14:17:07.550000000
52457,63,1,"<p>For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the preceding section. For all other HCPCS codes, diagnoses are not specified.</p>",2025-03-25 17:40:40.630000000
52458,36,1,"<p>All ICD-10 codes that are not specified in the previous section.</p>",2025-08-27 17:26:45.670000000
52459,23,1,"",2022-04-07 21:36:30.220000000
52460,16,1,"",2022-04-07 21:37:19.487000000
52461,21,1,"",2022-04-07 21:38:51.480000000
52462,32,1,"",2025-09-11 13:46:37.773000000
52463,32,1,"",2025-09-11 13:48:26.507000000
52464,62,1,"<p>All ICD-10 codes that are specified in the previous section.</p>",2025-02-06 13:53:56.030000000
52465,65,1,"<p><span style=""line-height: 115%;"">For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the previous section.</span></p>",2025-09-11 14:02:08.330000000
52466,72,1,"<p>For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the previous section.<br /><br />For HCPCS codes A7009, E0575, J7604, J7607, J7609, J7610, J7615, J7622, J7624, J7627, J7628, J7629, J7632, J7634, J7635, J7636, J7637, J7638, J7640, J7641, J7642, J7643, J7645, J7647, J7650, J7657, J7660, J7667, J7670, J7676, J7680, J7681, J7683, J7684, and J7685, all ICD-10 codes.<br /><br />For all other HCPCS codes, ICD-10 codes are not specified.</p>",2025-05-15 21:18:17.303000000
52467,54,1,"<p>All ICD-10 codes that are not specified in the preceding section.</p>",2024-05-08 15:56:44.047000000
52468,22,1,"<p>All ICD-10 codes that are not specified in the preceding section.</p>",2022-04-07 21:44:53.100000000
52469,28,1,"",2024-10-09 18:19:01.017000000
52470,18,1,"",2025-07-29 21:07:59.710000000
52474,40,1,"<p>All diagnoses that are not specified in the section ICD-10 Codes that are Covered. <br /></p>",2025-09-12 13:35:43.410000000
52476,27,1,"",2022-04-07 14:02:30.017000000
52477,16,1,"",2022-04-07 14:09:34.507000000
52478,26,1,"<p><span style=""line-height: 107%;"">All ICD-10 codes and diagnoses that are not specified in the preceding section. </span></p>",2025-10-03 15:02:26.363000000
52479,69,1,"<p>All codes not listed in the previous section.</p>",2025-10-03 14:58:15.020000000
52480,86,1,"<p>All codes not listed in the previous section.</p>",2025-10-03 14:48:17.370000000
52481,30,1,"<p>For the specific HCPCS code indicated above, all ICD-10 codes that are not specified in the previous section. <br /> <br /> For all other HCPCS codes, ICD-10 codes are not specified.</p>",2025-03-27 12:56:19.380000000
52487,33,1,"<p>For all HCPCS codes except A4331, A4364, A4402, A4450, A4452, A4455, A4456, A5102, A5120. All ICD-10 codes that are not specified in the previous section.</p>",2025-04-03 16:17:00.693000000
52489,24,1,"",2022-04-07 14:19:18.927000000
52490,27,1,"<p>All ICD-10 codes that are not specified in the previous section.</p>",2022-04-07 14:19:58.917000000
52492,20,1,"All codes that are not specified in the previous section. <br />",2022-04-07 14:21:36.797000000
52494,63,1,"<p>All ICD-10 codes that are not specified in the previous section.</p>",2025-09-11 14:03:16.003000000
52495,18,1,"",2022-04-07 16:51:16.723000000
52496,57,1,"",2025-09-11 14:03:44.463000000
52497,35,1,"",2024-06-05 19:22:53.547000000
52498,59,1,"",2025-06-09 19:10:19.243000000
52499,23,1,"",2022-05-18 17:35:40.440000000
52500,44,1,"",2025-03-25 17:51:12.020000000
52501,47,1,"",2024-11-26 12:52:37.430000000
52502,20,1,"",2022-04-07 16:49:20.337000000
52503,23,1,"",2024-04-26 14:00:45.730000000
52504,55,1,"",2025-03-25 17:58:42.007000000
52505,77,1,"",2025-09-23 19:55:53.037000000
52507,146,1,"<p><span style=""line-height: 107%;"">For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the previous section.</span></p>
<p><span style=""line-height: 107%;"">For all other HCPCS codes, ICD-10 codes are not specified.</span></p>",2025-08-14 19:48:46.757000000
52508,39,1,"",2022-04-07 12:33:09.480000000
52509,61,1,"<p>All codes not listed in the previous section.</p>",2025-05-15 19:51:55.510000000
52510,61,1,"<p><span style=""line-height: 107%;"">All ICD-10 codes that are not specified in the previous section.</span></p>",2025-09-12 13:51:39.173000000
52511,28,1,"",2022-04-07 12:40:02.110000000
52512,46,1,"<p>All ICD-10 codes that are not specified in the preceding section.</p>",2024-05-09 18:55:43.130000000
52513,43,1,"",2024-09-05 18:55:51.473000000
52514,61,1,"<p>For all claims submitted with the N3 modifier.</p>",2024-05-09 18:59:28.427000000
52516,26,1,"",2023-09-20 13:41:37.447000000
52517,50,1,"",2025-10-03 14:40:04.790000000
52518,36,1,"",2023-05-11 16:30:31.927000000
52519,39,1,"<p><span style=""line-height: 107%;"">For A4605 and A4624 &ndash; All codes not listed above<br /> <br /> For A7002, A7047 and E0600 - G47.33<br /> <br /> For the remaining codes in this LCD - Not specified<br /> <br /> </span></p>",2024-05-09 18:57:25.660000000
52520,31,1,"<p><span style=""line-height: 107%;""><br /><br /></span></p>",2022-11-11 14:43:17.453000000
52521,48,1,"<p>For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the preceding section.<strong><span style=""line-height: 107%;""><br /> <br /> </span></strong></p>",2025-04-03 16:22:40.297000000
52527,84,1,"",2025-06-16 12:17:43.490000000
52535,13,1,"",2025-07-31 18:29:51.120000000
52537,11,1,"",2023-12-29 17:39:23.183000000
52571,136,1,"",2025-09-11 19:05:39.790000000
52711,22,1,"",2022-04-07 21:46:31.153000000
52712,25,1,"Not Applicable",2022-04-07 21:47:16.270000000
52713,18,1,"",2022-04-07 14:00:02.520000000
52725,36,1,"<p>All the ICD-10-CM codes listed below <strong>DO NOT</strong> support medical necessity and will deny when billing 64450 <strong>WITH</strong> 76881, 76882, 76942, 76999, 97032, 97139, G0282 and/or G0283 (above Group 2 CPT codes) for peripheral nerve blocks (including G57.91, G57.92, G58.7, G58.8, G58.9 G59, M54.10 and M79.2). Refer to the Coverage and Limitations section above.</p>
<p>All other ICD-10-CM codes not listed in this policy under ""ICD-10 Codes that Support Medical Necessity"" above.</p>",2025-09-25 15:59:31.783000000
52770,28,1,"",2023-11-08 19:06:14.383000000
52800,92,1,"",2025-06-17 19:12:10.980000000
52825,11,1,"",2024-01-16 14:52:38.157000000
52830,7,1,"",2019-11-08 18:57:38.753000000
52837,20,1,"",2024-12-19 15:52:55.200000000
52840,2,1,"",2014-04-01 20:26:59
52841,3,1,"",2016-09-22 21:24:08.913000000
52842,17,1,"",2023-11-17 21:52:18.337000000
52845,7,1,"",2023-10-06 15:24:41.653000000
52848,41,1,"",2025-09-17 15:57:58.130000000
52849,35,1,"",2023-12-21 15:24:40.860000000
52850,50,1,"",2024-12-19 16:01:44.010000000
52855,30,1,"",2024-01-04 13:46:54.103000000
52863,55,1,"",2024-09-19 20:56:12.673000000
52866,34,1,"",2024-12-19 16:04:28.460000000
52868,45,1,"",2024-12-19 12:58:08.187000000
52870,37,1,"<p>Use of any ICD-10-CM code not listed in the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article will be denied.</p>
<p>In addition, the ICD-10-CM codes listed below are specifically included as not supporting medical necessity for emphasis, and to avoid any provider errors.</p>
<p>CPT codes 36465, 36466, 36470, 36471, 36473, 36474, 36475, 36476, 36478, 36479, 36482, 36483, 37700, 37718, 37722, 37735, 37760, 37761, 37765, 37766, 37780 and 37799 (when used to report ""Trivex Procedure""), submitted for any of the following ICD-10-CM codes will be denied as not medically necessary:</p>",2024-12-19 13:27:21.610000000
52917,4,1,"",2023-11-22 16:25:23.597000000
52918,5,1,"",2023-11-22 18:30:28.610000000
52959,13,1,"",2023-11-14 17:09:23.850000000
52986,242,1,"<p>All those not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-04-25 17:28:18.147000000
52992,30,1,"<p>All ICD-10 codes not listed under the ""ICD-10 Codes that Support Medical Necessity"" section of this article.</p>",2025-04-11 13:01:11.570000000
52993,54,1,"<p>All those not listed under the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article.</p>",2024-10-18 13:42:55.753000000
52996,31,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-09-26 13:52:29.940000000
52998,47,1,"<p>All those not listed under the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article.</p>",2024-06-14 20:23:17.553000000
53001,42,1,"",2025-01-24 16:24:26.193000000
53006,14,1,"",2019-12-12 15:59:00.587000000
53008,55,1,"",2025-09-23 18:03:56.830000000
53009,53,1,"",2025-09-23 18:04:53.820000000
53018,13,1,"",2023-11-20 14:38:49.327000000
53019,14,1,"",2025-07-15 16:38:48.047000000
53020,2,1,"",2014-04-01 20:36:45
53021,128,1,"",2025-09-22 10:52:45.237000000
53024,22,1,"",2024-03-13 14:59:57.883000000
53026,62,1,"<p>N/A</p>",2025-04-18 19:49:51.077000000
53032,134,1,"<p>N/A</p>",2025-09-25 19:43:18.910000000
53033,128,1,"",2025-09-25 19:43:41.640000000
53043,14,1,"",2023-01-10 20:02:43.077000000
53046,21,1,"",2023-12-20 12:47:29.093000000
53047,17,1,"",2021-12-29 16:33:30.127000000
53049,98,1,"",2023-11-09 23:48:19.013000000
53052,48,1,"<p><span style=""line-height: 115%;"">Any ICD-10 codes not listed in the <strong><em>ICD-10-CM Codes that Support Medical Necessity</em></strong> section of this article may be subject to medical review.</span></p>",2025-08-19 18:16:46.930000000
53053,14,1,"",2022-05-12 13:18:15.233000000
53055,13,1,"",2019-04-04 21:20:46.717000000
53056,15,1,"",2024-11-27 17:20:58.903000000
53057,63,1,"",2025-08-14 15:04:13.357000000
53058,61,1,"",2025-08-14 17:50:12.940000000
53060,48,1,"",2025-08-14 12:47:20.910000000
53064,83,1,"",2025-08-22 18:48:10.500000000
53065,72,1,"",2025-08-25 12:43:45.517000000
53066,92,1,"",2025-06-25 16:58:24.873000000
53084,28,1,"",2023-11-14 16:35:25.500000000
53095,28,1,"",2024-09-05 14:24:29.023000000
53101,46,1,"",2024-08-29 13:10:24.490000000
53104,32,1,"",2022-01-18 13:18:14.220000000
53105,22,1,"",2019-10-16 21:55:24.190000000
53106,16,1,"",2017-04-20 13:39:36.070000000
53124,37,1,"",2025-01-24 13:42:36.400000000
53127,184,1,"",2025-07-11 13:06:16.960000000
53134,84,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Support Medical Necessity&rdquo; section of this article.</p>",2023-11-22 12:43:03.740000000
53252,236,1,"<p>N/A</p>",2025-09-19 15:05:01.360000000
53296,22,1,"",2025-10-06 12:11:07.323000000
53304,16,1,"",2023-11-14 16:25:55.620000000
53322,16,1,"",2023-11-16 19:22:42.950000000
53352,13,1,"",2023-11-14 16:30:14.247000000
53356,14,1,"<p><b>ICD-10-CM code Z30.2, sterilization should be noted in Item 24E of the CMS-1500 claim form or the electronic equivalent:</b></p>",2023-11-16 19:28:44.467000000
53359,35,1,"",2024-11-08 17:02:36.923000000
53387,33,1,"",2025-09-17 19:24:15.420000000
53399,13,1,"",2019-11-07 15:59:39.850000000
53423,16,1,"",2019-09-30 14:29:56.333000000
53435,11,1,"",2023-01-11 18:34:32.490000000
53441,10,1,"",2019-09-26 17:30:03.907000000
53444,14,1,"",2023-01-10 20:56:52.950000000
53446,6,1,"",2017-10-10 15:38:51.823000000
53472,18,1,"",2019-12-03 21:10:27.240000000
53480,14,1,"",2019-10-15 14:36:38.483000000
53482,13,1,"",2019-10-24 00:19:11.030000000
53484,16,1,"",2019-10-15 14:52:43.670000000
53488,11,1,"",2019-10-02 12:44:20.717000000
53495,11,1,"",2024-11-12 14:59:57.407000000
53497,15,1,"",2023-01-11 13:47:04.490000000
53531,22,1,"",2024-09-09 13:22:00.833000000
53538,15,1,"",2019-10-15 15:07:32.130000000
53558,29,1,"",2022-01-18 12:58:03.970000000
53605,21,1,"",2021-07-08 12:10:04.620000000
53702,19,1,"",2019-11-11 14:30:33.477000000
53708,16,1,"",2019-10-30 14:47:41.283000000
53773,20,1,"",2024-01-12 15:56:27.973000000
