"article_id","article_version","revenue_code_id","revenue_code_version","range","last_updated","description"
"52369","13","0360","15","X","2023-11-20 13:54:16.547000000","Operating Room Services - General Classification"
"52369","13","0361","15","Y","2023-11-20 13:54:16.550000000","Operating Room Services - Minor Surgery"
"52369","13","0362","15","Y","2023-11-20 13:54:16.553000000","Operating Room Services - Organ Transplant - Other than Kidney"
"52369","13","0367","15","Y","2023-11-20 13:54:16.557000000","Operating Room Services - Kidney Transplant"
"52369","13","0369","15","Z","2023-11-20 13:54:16.557000000","Operating Room Services - Other OR Services"
"52369","13","0490","15","X","2023-11-20 13:54:16.560000000","Ambulatory Surgical Care - General Classification"
"52369","13","0499","15","Z","2023-11-20 13:54:16.560000000","Ambulatory Surgical Care - Other Ambulatory Surgical Care"
"52369","13","0760","15","X","2023-11-20 13:54:16.567000000","Specialty Services - General Classification"
"52369","13","0761","15","Y","2023-11-20 13:54:16.570000000","Specialty Services - Treatment Room"
"52369","13","0762","15","Y","2023-11-20 13:54:16.570000000","Specialty Services - Observation Hours"
"52369","13","0769","15","Z","2023-11-20 13:54:16.573000000","Specialty Services - Other Specialty Services"
"52369","13","0960","15","X","2023-11-20 13:54:16.577000000","Professional Fees - General Classification"
"52369","13","0961","15","Y","2023-11-20 13:54:16.580000000","Professional Fees - Psychiatric"
"52369","13","0962","15","Y","2023-11-20 13:54:16.580000000","Professional Fees - Ophthalmology"
"52369","13","0963","15","Y","2023-11-20 13:54:16.580000000","Professional Fees - Anesthesiologist (MD)"
"52369","13","0964","15","Y","2023-11-20 13:54:16.583000000","Professional Fees - Anesthetist (CRNA)"
"52369","13","0969","15","Z","2023-11-20 13:54:16.587000000","Professional Fees - Other Professional Fee"
"52369","13","0975","15","N","2023-11-20 13:54:16.587000000","Professional Fees - Operating Room"
"52369","13","0982","15","N","2023-11-20 13:54:16.590000000","Professional Fees - Outpatient Services"
"52430","11","99999","15","N","2024-10-29 11:37:43.263000000","Not Applicable"
"52432","14","0982","15","N","2023-11-07 17:38:39.783000000","Professional Fees - Outpatient Services"
"52432","14","0983","15","N","2023-11-07 17:38:39.783000000","Professional Fees - Clinic"
"52432","14","0962","15","N","2023-11-07 17:38:39.780000000","Professional Fees - Ophthalmology"
"52432","14","0960","15","N","2023-11-07 17:38:39.780000000","Professional Fees - General Classification"
"52432","14","0510","15","N","2023-11-07 17:38:39.777000000","Clinic - General Classification"
"52432","14","0490","15","N","2023-11-07 17:38:39.773000000","Ambulatory Surgical Care - General Classification"
"52432","14","0360","15","N","2023-11-07 17:38:39.773000000","Operating Room Services - General Classification"
"52435","13","0516","15","N","2023-11-15 12:56:41.340000000","Clinic - Urgent Care Clinic"
"52435","13","0517","15","N","2023-11-15 12:56:41.340000000","Clinic - Family Practice Clinic"
