article_id,article_version,url_type_id,url_id,"url","url_name",sort_order,last_updated,"url_description"
52369,13,1,1,"http://","",1,2023-11-20 13:54:16.663000000,""
52369,13,2,2,"http://","",2,2023-11-20 13:54:16.667000000,""
52369,13,3,3,"http://","",3,2023-11-20 13:54:16.670000000,""
52369,13,4,4,"http://","",4,2023-11-20 13:54:16.670000000,""
52370,125,1,1,"http://","",1,2025-09-17 14:13:43.980000000,""
52370,125,2,2,"http://","",2,2025-09-17 14:13:43.983000000,""
52370,125,3,3,"http://","",3,2025-09-17 14:13:43.987000000,""
52370,125,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2025-09-17 14:13:43.990000000,""
52379,9,1,1,"http://","",1,2023-11-17 21:59:58.707000000,""
52379,9,2,2,"http://","",2,2023-11-17 21:59:58.710000000,""
52379,9,3,3,"http://","",3,2023-11-17 21:59:58.710000000,""
52379,9,4,4,"http://","",4,2023-11-17 21:59:58.713000000,""
52399,61,1,1,"http://","",1,2025-09-17 14:14:56.960000000,""
52399,61,2,2,"http://","",2,2025-09-17 14:14:56.960000000,""
52399,61,3,3,"http://","",3,2025-09-17 14:14:56.963000000,""
52399,61,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2025-09-17 14:14:56.967000000,""
52420,60,1,1,"http://","",1,2024-08-04 19:11:13.010000000,""
52420,60,2,2,"http://","",2,2024-08-04 19:11:13.010000000,""
52420,60,3,3,"http://","",3,2024-08-04 19:11:13.010000000,""
52420,60,4,4,"https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMA/pma.cfm","FDA Premarket Notification Database",4,2024-08-04 19:11:13.017000000,""
52421,22,1,1,"http://","",1,2023-09-22 19:00:52.680000000,""
52421,22,2,2,"http://","",2,2023-09-22 19:00:52.680000000,""
52421,22,3,3,"http://","",3,2023-09-22 19:00:52.683000000,""
